项目名,项目标记,电压条件文件夹,电压条件,working数量,working百分比,short数量,short百分比,open数量,open百分比,unworking数量,unworking百分比,无数据数量,无数据百分比,其他数量,其他百分比,总器件数
24B-W034-260TC2-20250515-D23,正常,4_np2.5v,-2.5v~2.5v,627,61.2%,64,6.2%,0,0.0%,333,32.5%,0,0.0%,0,0.0%,1024
24B-W034-260TC2-20250515-D23,正常,5_n3p2.5v,-3v~2.5v,508,49.6%,64,6.2%,0,0.0%,452,44.1%,0,0.0%,0,0.0%,1024
24B-W034-260TC2-20250515-D23,正常,6_n3.3p2.5v,-3.3v~2.5v,398,38.9%,64,6.2%,0,0.0%,562,54.9%,0,0.0%,0,0.0%,1024
24B-W034-260TC2-20250515-D23,正常,7_n3.3p3v,-3.3v~3v,98,9.6%,64,6.2%,0,0.0%,862,84.2%,0,0.0%,0,0.0%,1024
24B-W034-260TC2-20250515-D23,正常,8_n3.3p3.3,-3.3v~3.3v,35,3.4%,64,6.2%,0,0.0%,925,90.3%,0,0.0%,0,0.0%,1024
24B-W034-261TC2-20250630-D25,正常,1_np1v,-1v~1v,2,0.2%,0,0.0%,0,0.0%,1022,99.8%,0,0.0%,0,0.0%,1024
24B-W034-261TC2-20250630-D25,正常,2_np1.5v,-1.5v~1.5v,2,0.2%,0,0.0%,0,0.0%,1022,99.8%,0,0.0%,0,0.0%,1024
24B-W034-261TC2-20250630-D25,正常,3_np2v,-2v~2v,12,1.2%,0,0.0%,0,0.0%,1012,98.8%,0,0.0%,0,0.0%,1024
24B-W034-261TC2-20250630-D25,正常,4_np2.5v,-2.5v~2.5v,98,9.6%,0,0.0%,0,0.0%,926,90.4%,0,0.0%,0,0.0%,1024
24B-W034-261TC2-20250630-D25,正常,5_n3p2.5v,-3v~2.5v,80,7.8%,0,0.0%,0,0.0%,944,92.2%,0,0.0%,0,0.0%,1024
24B-W034-261TC2-20250630-D25,正常,6_np3v,-3v~3v,120,11.7%,0,0.0%,0,0.0%,904,88.3%,0,0.0%,0,0.0%,1024
24B-W034-261TC2-20250630-D25,正常,7_np3.3v,-3.3v~3.3v,50,4.9%,0,0.0%,0,0.0%,974,95.1%,0,0.0%,0,0.0%,1024
24B-W034-262TC2-20250610-D22,正常,3_np2v,-2v~2v,156,21.6%,0,0.0%,0,0.0%,567,78.4%,0,0.0%,0,0.0%,723
24B-W034-262TC2-20250610-D22,正常,4_np2.5v,-2.5v~2.5v,142,19.8%,0,0.0%,0,0.0%,574,80.2%,0,0.0%,0,0.0%,716
24B-W034-262TC2-20250610-D22,正常,5_n3p2.5,-3v~2.5v,43,4.9%,0,0.0%,0,0.0%,827,95.1%,0,0.0%,0,0.0%,870
24B-W034-262TC2-20250610-D22,正常,6_n3p3,-3v~3v,55,6.1%,0,0.0%,0,0.0%,844,93.9%,0,0.0%,0,0.0%,899
24B-W034-262TC2-20250610-D22,正常,7_n3.3p3,-3.3v~3v,16,1.7%,0,0.0%,0,0.0%,928,98.3%,0,0.0%,0,0.0%,944
24B-W034-262TC2-20250610-D22,正常,8_n3.3p3.3,-3.3v~3.3v,5,0.5%,0,0.0%,0,0.0%,968,99.5%,0,0.0%,0,0.0%,973
24B-W035-263TC2-20200526- D25,正常,1_np1v,-1v~1v,16,1.6%,0,0.0%,0,0.0%,956,98.4%,0,0.0%,0,0.0%,972
24B-W035-263TC2-20200526- D25,正常,2_np1.5v,-1.5v~1.5v,15,1.6%,0,0.0%,0,0.0%,934,98.4%,0,0.0%,0,0.0%,949
24B-W035-263TC2-20200526- D25,正常,3_np2v,-2v~2v,71,8.3%,0,0.0%,0,0.0%,789,91.7%,0,0.0%,0,0.0%,860
24B-W035-263TC2-20200526- D25,正常,4_np2.5v,-2.5v~2.5v,139,18.3%,0,0.0%,0,0.0%,620,81.7%,0,0.0%,0,0.0%,759
24B-W035-263TC2-20200526- D25,正常,5_np3v,-3v~3v,177,21.1%,0,0.0%,0,0.0%,662,78.9%,0,0.0%,0,0.0%,839
24B-W035-263TC2-20200526- D25,正常,6_np3.3v,-3.3v~3.3v,80,8.2%,0,0.0%,0,0.0%,901,91.8%,0,0.0%,0,0.0%,981
24B-W035-265TC2-20250703-D24,正常,10_np3.3v,-3.3v~3.3v,9,0.9%,32,3.1%,0,0.0%,983,96.0%,0,0.0%,0,0.0%,1024
24B-W035-265TC2-20250703-D24,正常,1_np1v,-1v~1v,108,10.5%,32,3.1%,0,0.0%,884,86.3%,0,0.0%,0,0.0%,1024
24B-W035-265TC2-20250703-D24,正常,2_np1.5v,-1.5v~1.5v,405,39.6%,32,3.1%,0,0.0%,587,57.3%,0,0.0%,0,0.0%,1024
24B-W035-265TC2-20250703-D24,正常,3_np2v,-2v~2v,563,55.0%,32,3.1%,0,0.0%,429,41.9%,0,0.0%,0,0.0%,1024
24B-W035-265TC2-20250703-D24,正常,4_np2v,-2v~2v,66,6.4%,32,3.1%,0,0.0%,926,90.4%,0,0.0%,0,0.0%,1024
24B-W035-265TC2-20250703-D24,正常,5_np2.5v,-2.5v~2.5v,369,36.0%,32,3.1%,0,0.0%,623,60.8%,0,0.0%,0,0.0%,1024
24B-W035-265TC2-20250703-D24,正常,6_np2.5v,-2.5v~2.5v,8,0.8%,32,3.1%,0,0.0%,984,96.1%,0,0.0%,0,0.0%,1024
24B-W035-265TC2-20250703-D24,正常,7_n3p2.5v,-3v~2.5v,45,4.4%,32,3.1%,0,0.0%,947,92.5%,0,0.0%,0,0.0%,1024
24B-W035-265TC2-20250703-D24,正常,8_n3p3v,-3v~3v,51,5.0%,32,3.1%,0,0.0%,941,91.9%,0,0.0%,0,0.0%,1024
24B-W035-266TC2-20250710-D26,正常,1_np1v,-1v~1v,2,3.1%,0,0.0%,0,0.0%,63,96.9%,0,0.0%,0,0.0%,65
24B-W036-271TC2-20250619-D27,正常,7_np3v,-3v~3v,59,9.7%,0,0.0%,0,0.0%,549,90.3%,0,0.0%,0,0.0%,608
24B-W036-271TC2-20250619-D27,正常,8_n3.3p3v,-3.3v~3v,83,9.2%,0,0.0%,0,0.0%,816,90.8%,0,0.0%,0,0.0%,899
24B-W036-271TC2-20250619-D27,正常,9_np3.3v,-3.3v~3.3v,90,9.7%,0,0.0%,0,0.0%,835,90.3%,0,0.0%,0,0.0%,925
24B-W037-273TC2-20250528- D23,空文件夹,,,0,0.0%,0,0.0%,0,0.0%,1,100.0%,0,0.0%,0,0.0%,1
24B-W037-274TC2-20250527-D27,正常,1_np1v,-1v~1v,0,0.0%,0,0.0%,0,0.0%,1024,100.0%,0,0.0%,0,0.0%,1024
24B-W037-274TC2-20250527-D27,正常,2_np1.5v,-1.5v~1.5v,0,0.0%,0,0.0%,0,0.0%,1024,100.0%,0,0.0%,0,0.0%,1024
24B-W037-274TC2-20250527-D27,正常,3_np2v,-2v~2v,0,0.0%,0,0.0%,0,0.0%,1024,100.0%,0,0.0%,0,0.0%,1024
24B-W037-274TC2-20250527-D27,正常,4_np2.5v,-2.5v~2.5v,1,0.1%,0,0.0%,0,0.0%,1023,99.9%,0,0.0%,0,0.0%,1024
24B-W037-274TC2-20250527-D27,正常,5_np3v,-3v~3v,28,2.7%,0,0.0%,0,0.0%,996,97.3%,0,0.0%,0,0.0%,1024
24B-W037-274TC2-20250527-D27,正常,6_np3.3v,-3.3v~3.3v,127,12.4%,0,0.0%,0,0.0%,897,87.6%,0,0.0%,0,0.0%,1024
24B-W037-276TC2-20250523- D26,正常,1_np1v,-1v~1v,0,0.0%,0,0.0%,0,0.0%,1024,100.0%,0,0.0%,0,0.0%,1024
24B-W037-276TC2-20250523- D26,正常,2_np1.5v,-1.5v~1.5v,0,0.0%,0,0.0%,0,0.0%,1013,100.0%,0,0.0%,0,0.0%,1013
24B-W037-276TC2-20250523- D26,正常,3_np2v,-2v~2v,0,0.0%,0,0.0%,0,0.0%,1016,100.0%,0,0.0%,0,0.0%,1016
24B-W037-276TC2-20250523- D26,正常,4_np2.5v,-2.5v~2.5v,3,0.3%,0,0.0%,0,0.0%,1021,99.7%,0,0.0%,0,0.0%,1024
24B-W037-276TC2-20250523- D26,正常,5_np3v,-3v~3v,129,12.6%,0,0.0%,0,0.0%,895,87.4%,0,0.0%,0,0.0%,1024
24B-W037-276TC2-20250523- D26,正常,6_np3.3v,-3.3v~3.3v,231,22.7%,0,0.0%,0,0.0%,785,77.3%,0,0.0%,0,0.0%,1016
24B-W037-277TC2-20250528-D24,正常,1_np1v,-1v~1v,1,0.1%,0,0.0%,0,0.0%,973,99.9%,0,0.0%,0,0.0%,974
24B-W037-277TC2-20250528-D24,正常,2_np1.5v,-1.5v~1.5v,3,0.3%,0,0.0%,0,0.0%,1021,99.7%,0,0.0%,0,0.0%,1024
24B-W037-277TC2-20250528-D24,正常,3_np2v,-2v~2v,16,1.6%,0,0.0%,0,0.0%,1008,98.4%,0,0.0%,0,0.0%,1024
