所属项目,电压条件文件夹,电压条件,项目标记,器件总数,P-switch器件数,P-switch均值(V),P-switch中位数(V),P-switch标准差(V),P-switch最小值(V),P-switch最大值(V),P-switch范围(V),P-switch FWHM(V),N-switch器件数,N-switch均值(V),N-switch中位数(V),N-switch标准差(V),N-switch最小值(V),N-switch最大值(V),N-switch范围(V),N-switch FWHM(V)
24B-W028-244TC2-20250807-D24,8_np3.3v,-3.3v~3.3v,正常,1024,1024,1.790625,1.8,0.6407397362265491,0.1,3.2,3.1,1.5089420788135233,1024,-1.7638671874999998,-1.9,0.8975382242913263,-3.1,-0.1,3.0,2.1137025182060736
24B-W032-248TC2-20250718-D22,1_np1v,-1v~1v,正常,1024,1024,0.49064453124999996,0.49,0.27668681917213256,0.01,1.0,0.99,0.6515974591503721,1024,-0.523115234375,-0.535,0.29260144142049715,-1.0,-0.01,0.99,0.6890763945452708
24B-W032-248TC2-20250718-D22,2_np1.5v,-1.5v~1.5v,正常,1025,1024,0.767548828125,0.78,0.4351669015648929,0.03,1.5,1.47,1.0248180531853228,1023,-0.8083088954056695,-0.87,0.4281030089717396,-1.5,-0.03,1.47,1.0081825861284468
24B-W032-248TC2-20250718-D22,3_np2v,-2v~2v,正常,1011,1010,0.9734851485148515,0.98,0.5819511389490621,0.02,2.0,1.98,1.3704949322250413,1010,-1.0762772277227723,-1.08,0.5848503678728675,-2.0,-0.02,1.98,1.377322616340603
24B-W032-248TC2-20250718-D22,4_np2.5v,-2.5v~2.5v,正常,1025,1024,1.9198535156249998,2.27,0.6826585930536108,0.05,2.5,2.45,1.6076609866412532,1024,-1.8485644531249998,-2.25,0.7552767709451413,-2.5,-0.05,2.45,1.7786767955758078
24B-W032-248TC2-20250718-D22,5_np3v,-3v~3v,正常,1025,1024,1.8365332031250001,1.59,0.6840348016326847,0.03,3.0,2.97,1.6109019578449724,1023,-2.6556011730205276,-2.94,0.6028167779576746,-3.0,-0.06,2.94,1.4196335120903238
24B-W032-248TC2-20250718-D22,6_np3.3v,-3.3v~3.3v,正常,991,991,1.9580928355196772,2.01,0.6961715621153405,0.1,3.3,3.1999999999999997,1.6394840287816268,991,-2.4664984863773967,-2.57,0.7339751666096931,-3.3,-0.07,3.23,1.7285115173658272
24B-W033-254TC2-20250707-D25,7_np3v,-3v~3v,正常,216,216,1.7956944444444445,1.92,0.5225896866760337,0.15,2.97,2.8200000000000003,1.2306987121220594,216,-2.3156944444444445,-2.67,0.7270849597947202,-3.0,-0.03,2.97,1.7122850803165661
24B-W034-260TC2-20250515-D23,1_np1v,-1v~1v,正常,1024,1024,0.5012890624999999,0.5,0.2796375576939202,0.01,1.0,0.99,0.658546448369182,1024,-0.5226367187500001,-0.525,0.29671627567363645,-1.0,-0.01,0.99,0.6987668292114139
24B-W034-260TC2-20250515-D23,2_np1.5v,-1.5v~1.5v,正常,1025,1024,0.8477734375000001,0.89,0.4011997201911128,0.03,1.5,1.47,0.9448253410500705,1023,-0.8495796676441838,-0.96,0.4611785286425497,-1.5,-0.03,1.47,1.0860754349532045
24B-W034-260TC2-20250515-D23,3_np2v,-2v~2v,正常,1025,1024,1.3824804687499999,1.44,0.4664339242366098,0.02,2.0,1.98,1.0984518915772161,1024,-1.49802734375,-1.84,0.6297272565396149,-2.0,-0.02,1.98,1.483007689150793
24B-W034-260TC2-20250515-D23,4_np2.5v,-2.5v~2.5v,正常,1025,1024,1.2231738281250002,1.13,0.4736249687310288,0.05,2.5,2.45,1.1153868013615726,1024,-2.152041015625,-2.45,0.5940625366376074,-2.5,-0.1,2.4,1.3990172737815656
24B-W034-260TC2-20250515-D23,5_n3p2.5v,-3v~2.5v,正常,1025,1024,1.1866601562499999,1.1,0.4630473857617351,0.05,2.5,2.45,1.0904765934688863,1023,-2.3642521994134897,-2.64,0.7385158617228171,-3.0,-0.06,2.94,1.7392048543572343
24B-W034-260TC2-20250515-D23,6_n3.3p2.5v,-3.3v~2.5v,正常,1024,1024,1.2669531250000001,1.2,0.48243911659596633,0.05,2.5,2.45,1.1361441195835007,1024,-2.4169140625,-2.74,0.8699458126502494,-3.3,-0.03,3.27,2.0487223887913375
24B-W034-260TC2-20250515-D23,7_n3.3p3v,-3.3v~3v,正常,1025,1024,1.402265625,1.26,0.6195495034647367,0.03,3.0,2.97,1.4590390806594549,1024,-2.3154296875,-2.51,0.8574935689891623,-3.3,-0.03,3.27,2.019397354969477
