所属项目,电压条件文件夹,电压条件,文件名,项目标记,正切换电压(V),负切换电压(V),数据点数
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_L00.txt,正常,1.395,-1.125,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_L01.txt,正常,0.78,-1.26,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_L02.txt,正常,0.9,-0.21,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_L03.txt,正常,0.255,-1.455,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_L04.txt,正常,0.45,-1.005,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_L05.txt,正常,0.57,-1.38,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_L06.txt,正常,0.075,-1.065,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_L07.txt,正常,0.75,-0.93,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_L08.txt,正常,1.02,-0.825,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_L09.txt,正常,1.455,-1.155,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_L10.txt,正常,0.015,-0.75,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_L11.txt,正常,0.24,-1.14,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_L12.txt,正常,1.185,-0.6,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_L13.txt,正常,0.375,-1.14,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_L14.txt,正常,0.315,-1.245,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00010_BL_L15.txt,正常,0.33,-0.75,404
