所属项目,电压条件文件夹,电压条件,项目标记,器件总数,P-switch器件数,P-switch均值(V),P-switch中位数(V),P-switch标准差(V),P-switch最小值(V),P-switch最大值(V),P-switch范围(V),P-switch FWHM(V),N-switch器件数,N-switch均值(V),N-switch中位数(V),N-switch标准差(V),N-switch最小值(V),N-switch最大值(V),N-switch范围(V),N-switch FWHM(V)
24B-W032-248TC2-20250718-D22,6_np3.3v,-3.3v~3.3v,正常,991,991,1.958092835519677,2.01,0.6961715621153405,0.1,3.3,3.1999999999999997,1.6394840287816268,991,-2.4664984863773967,-2.57,0.7339751666096931,-3.3,-0.07,3.23,1.7285115173658272
24B-W033-254TC2-20250707-D25,7_np3v,-3v~3v,正常,216,216,1.7956944444444445,1.92,0.5225896866760337,0.15,2.97,2.8200000000000003,1.2306987121220594,216,-2.3156944444444445,-2.67,0.7270849597947202,-3.0,-0.03,2.97,1.7122850803165661
24B-W034-260TC2-20250515-D23,1_np1v,-1v~1v,正常,1024,1024,0.5012890625,0.5,0.2796375576939202,0.01,1.0,0.99,0.658546448369182,1024,-0.52263671875,-0.525,0.29671627567363645,-1.0,-0.01,0.99,0.6987668292114139
24B-W034-260TC2-20250515-D23,2_np1.5v,-1.5v~1.5v,正常,1024,1024,0.8477734375000001,0.89,0.4011997201911128,0.03,1.5,1.47,0.9448253410500705,1024,-0.848896484375,-0.96,0.4614712044737984,-1.5,-0.03,1.47,1.0867646865357952
24B-W034-260TC2-20250515-D23,3_np2v,-2v~2v,正常,1024,1024,1.38248046875,1.44,0.4664339242366098,0.02,2.0,1.98,1.0984518915772161,1024,-1.4998242187500002,-1.84,0.6285295788078229,-2.0,-0.02,1.98,1.4801871580924228
24B-W034-260TC2-20250515-D23,4_np2.5v,-2.5v~2.5v,正常,1024,1024,1.223173828125,1.13,0.4736249687310288,0.05,2.5,2.45,1.1153868013615726,1024,-2.153583984375,-2.45,0.5928580697662333,-2.5,-0.1,2.4,1.3961807542994795
24B-W034-260TC2-20250515-D23,5_n3p2.5v,-3v~2.5v,正常,1024,1024,1.1853125,1.1,0.462452660650913,0.05,2.5,2.45,1.0890760158329,1024,-2.36478515625,-2.64,0.738351809544243,-3.0,-0.06,2.94,1.738818511476692
24B-W034-260TC2-20250515-D23,6_n3.3p2.5v,-3.3v~2.5v,正常,1024,1024,1.266953125,1.2,0.4824391165959663,0.05,2.5,2.45,1.1361441195835005,1024,-2.4169140625,-2.74,0.8699458126502494,-3.3,-0.03,3.27,2.0487223887913375
24B-W034-260TC2-20250515-D23,7_n3.3p3v,-3.3v~3v,正常,1024,1024,1.402265625,1.26,0.6195495034647367,0.03,3.0,2.97,1.4590390806594549,1024,-2.3154296875,-2.51,0.8574935689891623,-3.3,-0.03,3.27,2.019397354969477
24B-W034-260TC2-20250515-D23,8_n3.3p3.3,-3.3v~3.3v,正常,1024,1024,1.5858984375,1.6,0.6959950881259892,0.03,3.27,3.24,1.6390684325367046,1024,-2.2594238281250005,-2.38,0.8356178812465874,-3.3,-0.03,3.27,1.9678801103357133
